job_title,job_link,company_name,company_profile_link,job_location,job_published_date,job_description
Engineer II,https://qa.linkedin.com/jobs/view/engineer-ii-at-marriott-international-4174083838?position=6&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=vgSaGjRt7CgAPv8cslWdZw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer II,https://qa.linkedin.com/jobs/view/engineer-ii-at-marriott-international-4174083841?position=7&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=7yNnbf1GYd1H24Ch9btggg%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
MIS/Data Analyst,https://qa.linkedin.com/jobs/view/mis-data-analyst-at-virtusa-4143795018?position=8&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=KSc49LtL60aFyl1P40H%2Bew%3D%3D,Virtusa,https://www.linkedin.com/company/virtusa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-28,Description not available
Engineer-Technician-HVAC,https://qa.linkedin.com/jobs/view/engineer-technician-hvac-at-marriott-international-4158841989?position=9&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=p5lnmFxhDePOQtPkasjrqQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-19,Description not available
Software Engineer (Python/Linux/Packaging),https://qa.linkedin.com/jobs/view/software-engineer-python-linux-packaging-at-canonical-4069961872?position=10&pageNum=12&refId=ZTURbMvCm4h9dwNfvF%2BfAQ%3D%3D&trackingId=PXyDZIKCthkgd%2BmcabClLw%3D%3D,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2024-11-05,Description not available
Engineer II,https://qa.linkedin.com/jobs/view/engineer-ii-at-marriott-international-4174087434?position=1&pageNum=15&refId=EAAwbnsIfp57rWio9ycH8g%3D%3D&trackingId=1lfOCs%2Bs2yJvYl8j7RNf2w%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
Engineer II,https://qa.linkedin.com/jobs/view/engineer-ii-at-marriott-international-4174084848?position=2&pageNum=15&refId=EAAwbnsIfp57rWio9ycH8g%3D%3D&trackingId=1IKFA6Hclfe9gNLqsmx%2FlQ%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lusail, Qatar",2025-03-03,Description not available
University Intern-MEA,https://qa.linkedin.com/jobs/view/university-intern-mea-at-marriott-international-4155332691?position=3&pageNum=15&refId=EAAwbnsIfp57rWio9ycH8g%3D%3D&trackingId=8msiQ60I6MmgAXjzcGB3Rw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-16,Description not available
University Intern-MEA,https://qa.linkedin.com/jobs/view/university-intern-mea-at-marriott-international-4155329805?position=4&pageNum=15&refId=EAAwbnsIfp57rWio9ycH8g%3D%3D&trackingId=fSGw6Kd4ijuH8fzzoITTYg%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-16,Description not available
Engineer-Technician-HVAC,https://qa.linkedin.com/jobs/view/engineer-technician-hvac-at-marriott-international-4158843978?position=5&pageNum=15&refId=EAAwbnsIfp57rWio9ycH8g%3D%3D&trackingId=3gK3fi2nscxgOa69RZ3aJw%3D%3D,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Doha, Doha, Qatar",2025-02-19,Description not available
